provincia,zona,titulo,precio_actual,metros,habitaciones,ascensor,planta,baños,cod_distrito,renta_neta_media_por_hogar
madrid,tetuan,"Ático en calle de Beire, Bellas Vistas, Madrid",425000,47,1.0,S,3ª,0,06,45762
madrid,vicalvaro,"Piso en de Los Cerros, s/n, Los Cerros, Madrid",239735,110,3.0,S,2ª,0,19,4287
madrid,villaverde,"Piso en calle de Godella, San Cristóbal, Madrid",78094,91,3.0,N,1ª,0,17,35011
madrid,chamartin,"Ático en Bernabéu-Hispanoamérica, Madrid",1300000,135,3.0,S,5ª,0,05,79274
madrid,arganzuela,"Piso en Palos de la Frontera, Madrid",615000,133,2.0,S,1ª,0,02,52857
madrid,barrio-de-salamanca,"Piso en Goya, Madrid",1550000,150,3.0,S,5ª,1,04,69147
madrid,latina,"Piso en calle de Saavedra Fajardo, Puerta del Ángel, Madrid",759000,160,4.0,S,5ª,0,10,38078
madrid,moncloa,"Casa o chalet independiente en calle de la Isla de Nelson, 34, Valdezarza, Madrid",575000,77,2.0,S,6ª,0,09,71711
madrid,barrio-de-salamanca,"Piso en calle de Fernán González, Goya, Madrid",2359000,207,3.0,S,6ª,0,04,69147
madrid,barrio-de-salamanca,"Piso en calle del General Pardiñas, Lista, Madrid",1999000,189,3.0,S,1ª,0,04,69147
madrid,vicalvaro,"Piso en calle Provisional Ahijones Cuarenta y Cinco, 35, Los Ahijones, Madrid",235261,72,2.0,S,1ª,0,19,4287
madrid,retiro,"Piso en calle de Federico Moreno Torroba, Adelfas, Madrid",685000,125,3.0,S,12ª,0,03,64787
madrid,chamberi,"Piso en calle de Ponzano, Nuevos Ministerios-Ríos Rosas, Madrid",900000,122,3.0,S,2ª,2,07,65174
madrid,barrio-de-salamanca,"Piso en Lista, Madrid",2800000,305,5.0,S,5ª,3,04,69147
madrid,ciudad-lineal,"Ático en calle Caleruega, 79, Costillares, Madrid",870000,117,2.0,S,2ª,0,15,46937
madrid,villa-de-vallecas,"Piso en Valdecarros, Madrid",201917,88,2.0,S,2ª,0,18,39836
madrid,barrio-de-salamanca,"Piso en calle de Juan Bravo, Lista, Madrid",1809000,144,3.0,S,ENTREPLANTA,0,04,69147
madrid,moncloa,"Estudio en calle de Ilustración, Argüelles, Madrid",226550,26,2.0,N,ENTREPLANTA,0,09,71711
madrid,ciudad-lineal,"Piso en calle de José Barbastre, 6, Ventas, Madrid",369900,75,2.0,S,1ª,0,15,46937
madrid,carabanchel,"Piso en calle Manuel Lamela, Puerta Bonita, Madrid",148000,30,1.0,N,BAJO,0,11,3635
madrid,puente-de-vallecas,"Piso en calle de Alfonso XIII, Numancia, Madrid",95200,73,3.0,N,4ª,0,13,32666
madrid,chamberi,"Piso en Trafalgar, Madrid",2129300,281,4.0,S,4ª,0,07,65174
madrid,barrio-de-salamanca,"Estudio en calle de Villanueva, 2 a, Recoletos, Madrid",535000,40,4.0,S,2ª,0,04,69147
madrid,barrio-de-salamanca,"Piso en calle del Príncipe de Vergara, Castellana, Madrid",2469000,227,4.0,S,1ª,0,04,69147
madrid,tetuan,"Piso en Valdeacederas, Madrid",275000,52,1.0,S,2ª,0,06,45762
madrid,chamberi,"Estudio en calle de Gaztambide, Gaztambide, Madrid",349000,40,1.0,S,3ª,0,07,65174
madrid,arganzuela,"Piso en calle de Cáceres, Delicias, Madrid",150000,33,1.0,N,7ª,0,02,52857
madrid,villaverde,"Piso en calle Grazia Deledda, 5, Los Rosales, Madrid",330000,110,3.0,S,7ª,0,17,35011
madrid,centro,"Estudio en calle de San Buenaventura, Palacio, Madrid",240000,38,5.0,S,4ª,0,01,44958
madrid,moncloa,"Piso en calle de Guisando, Ciudad Universitaria, Madrid",2800000,662,5.0,S,2ª,0,09,71711
madrid,villaverde,"Piso en Villaverde Alto, Madrid",380000,124,3.0,S,3ª,0,17,35011
madrid,villaverde,"Piso en calle Pan y Toros, s/n, Los Ángeles, Madrid",285000,100,3.0,S,2ª,0,17,35011
madrid,barrio-de-salamanca,"Piso en calle de Francisco Silvela, 44, Guindalera, Madrid",1950000,226,3.0,S,1ª,0,04,69147
madrid,villaverde,"Piso en calle Lagunas de Neila, Villaverde Alto, Madrid",285000,141,4.0,N,1ª,2,17,35011
madrid,chamartin,"Piso en Paseo de la Castellana, El Viso, Madrid",3500000,310,5.0,S,1ª,0,05,79274
madrid,moncloa,"Chalet en Valdemarín, Madrid",2750000,577,4.0,S,5ª,0,09,71711
madrid,barrio-de-salamanca,"Piso en calle General Oraá, 9, Castellana, Madrid",5650000,400,3.0,S,5ª,0,04,69147
madrid,barrio-de-salamanca,"Piso en calle del General Díaz Porlier, 32, Lista, Madrid",720000,61,2.0,S,5ª,0,04,69147
madrid,barrio-de-salamanca,"Piso en Castellana, Madrid",1900000,158,4.0,S,5ª,0,04,69147
madrid,centro,"Piso en calle del Marqués de la Ensenada, Chueca-Justicia, Madrid",920000,72,1.0,S,5ª,0,01,44958
madrid,fuencarral,"Casa o chalet independiente en calle de Joaquín Jorge Alarcón, Peñagrande, Madrid",1750000,510,5.0,S,1ª,0,08,62385
madrid,barrio-de-salamanca,"Piso en calle de Goya, Goya, Madrid",2850000,275,3.0,S,1ª,0,04,69147
madrid,centro,"Ático en San Marcos, Chueca-Justicia, Madrid",770000,105,2.0,S,5ª,1,01,44958
madrid,chamartin,"Casa o chalet independiente en calle de Levante, Castilla, Madrid",2610000,243,4.0,S,4ª,0,05,79274
madrid,fuencarral,"Piso en calle de Palas de Rey, 52, Las Tablas, Madrid",449000,52,1.0,S,4ª,0,08,62385
madrid,chamberi,"Ático en Almagro, Madrid",7200000,412,5.0,S,7ª,0,07,65174
